Timestamp(ms),Current(uA),D0-D7
5000,839.347,00000000
5001,844.627,00000000
5002,841.404,00000000
5003,1316.636,00000000
5004,1281.116,00000000
5005,1364.965,00000000
5006,1717.516,00000000
5007,2993.066,00000000
5008,1889.448,00000000
5009,1227.324,00000000
5010,987.066,00000000
5011,894.492,00000000
5012,861.869,00000000
5013,850.508,00000000
5014,842.131,00000000
5015,844.648,00000000
5016,843.002,00000000
5017,841.704,00000000
5018,846.353,00000000
5019,860.899,00000000
5020,846.505,00000000
5021,843.927,00000000
5022,844.166,00000000
5023,1329.096,00000000
5024,1271.740,00000000
5025,999.066,00000000
5026,899.649,00000000
5027,863.477,00000000
5028,850.058,00000000
5029,843.174,00000000
5030,845.044,00000000
5031,864.467,00000000
5032,850.441,00000000
5033,845.243,00000000
5034,845.780,00000000
5035,842.013,00000000
5036,840.345,00000000
5037,840.309,00000000
5038,838.983,00000000
5039,843.080,00000000
5040,842.056,00000000
5041,840.750,00000000
5042,842.623,00000000
5043,1565.596,00000000
5044,1601.792,00000000
5045,2575.832,00000000
5046,2685.411,00000000
5047,1527.389,00000000
5048,1096.043,00000000
5049,934.937,00000000
5050,875.554,00000000
5051,852.715,00000000
5052,844.346,00000000
5053,844.674,00000000
5054,839.472,00000000
5055,866.922,00000000
5056,852.013,00000000
5057,846.913,00000000
5058,841.714,00000000
5059,843.174,00000000
5060,840.049,00000000
5061,841.197,00000000
5062,841.270,00000000
5063,1313.039,00000000
5064,1276.605,00000000
5065,1001.802,00000000
5066,896.382,00000000
5067,866.487,00000000
5068,860.525,00000000
5069,847.549,00000000
5070,844.749,00000000
5071,840.460,00000000
5072,839.026,00000000
5073,842.589,00000000
5074,841.912,00000000
5075,845.988,00000000
5076,842.293,00000000
5077,838.172,00000000
5078,839.337,00000000
5079,840.772,00000000
5080,1241.035,00000000
5081,1218.938,00000000
5082,2757.307,00000000
5083,3601.896,00000000
5084,2108.174,00000000
5085,1308.305,00000000
5086,1013.726,00000000
5087,908.528,00000000
5088,865.605,00000000
5089,852.371,00000000
5090,845.756,00000000
5091,845.570,00000000
5092,864.009,00000000
5093,848.247,00000000
5094,842.321,00000000
5095,843.304,00000000
5096,841.086,00000000
5097,841.626,00000000
5098,842.392,00000000
5099,840.462,00000000
5100,841.166,00000000
5101,841.607,00000000
5102,838.649,00000000
5103,1302.227,00000000
5104,1316.055,00000000
5105,1017.295,00000000
5106,907.085,00000000
5107,865.226,00000000
5108,846.576,00000000
5109,843.795,00000000
5110,843.079,00000000
5111,843.636,00000000
5112,841.293,00000000
5113,841.411,00000000
5114,838.863,00000000
5115,1183.413,00000000
5116,1905.687,00000000
5117,3127.441,00000000
5118,3542.863,00000000
5119,2016.671,00000000
5120,1280.781,00000000
5121,1002.831,00000000
5122,901.141,00000000
5123,1346.920,00000000
5124,1291.832,00000000
5125,1008.497,00000000
5126,906.505,00000000
5127,863.516,00000000
5128,872.236,00000000
5129,858.877,00000000
5130,847.396,00000000
5131,846.196,00000000
5132,842.832,00000000
5133,842.353,00000000
5134,842.672,00000000
5135,847.267,00000000
5136,843.133,00000000
5137,840.540,00000000
5138,840.192,00000000
5139,842.590,00000000
5140,840.216,00000000
5141,855.549,00000000
5142,847.600,00000000
5143,1345.913,00000000
5144,1282.927,00000000
5145,1004.556,00000000
5146,905.124,00000000
5147,865.446,00000000
5148,848.124,00000000
5149,845.567,00000000
5150,844.528,00000000
5151,843.098,00000000
5152,839.936,00000000
5153,1257.105,00000000
5154,1133.595,00000000
5155,2674.457,00000000
5156,3380.585,00000000
5157,1973.869,00000000
5158,1260.115,00000000
5159,993.522,00000000
5160,901.344,00000000
5161,862.306,00000000
5162,849.797,00000000
5163,1308.692,00000000
5164,1290.752,00000000
5165,1029.061,00000000
5166,908.254,00000000
5167,869.360,00000000
5168,846.208,00000000
5169,844.667,00000000
5170,842.876,00000000
5171,843.597,00000000
5172,842.254,00000000
5173,842.612,00000000
5174,842.639,00000000
5175,838.386,00000000
5176,844.069,00000000
5177,868.423,00000000
5178,850.824,00000000
5179,845.975,00000000
5180,843.782,00000000
5181,840.027,00000000
5182,841.023,00000000
5183,1325.700,00000000
5184,1662.638,00000000
5185,1436.120,00000000
5186,2860.424,00000000
5187,2050.046,00000000
5188,1285.085,00000000
5189,1031.478,00000000
5190,912.545,00000000
5191,866.478,00000000
5192,851.146,00000000
5193,844.766,00000000
5194,844.989,00000000
5195,839.660,00000000
5196,840.083,00000000
5197,840.016,00000000
5198,840.334,00000000
5199,844.258,00000000
5200,841.305,00000000
5201,842.649,00000000
5202,852.746,00000000
5203,1352.651,00000000
5204,1285.615,00000000
5205,1005.950,00000000
5206,904.808,00000000
5207,866.060,00000000
5208,853.081,00000000
5209,844.734,00000000
5210,843.527,00000000
5211,842.913,00000000
5212,842.449,00000000
5213,843.818,00000000
5214,859.003,00000000
5215,847.908,00000000
5216,841.614,00000000
5217,839.512,00000000
5218,844.616,00000000
5219,840.583,00000000
5220,1169.263,00000000
5221,1987.960,00000000
5222,3039.955,00000000
5223,2940.639,00000000
5224,1890.144,00000000
5225,1230.270,00000000
5226,1006.490,00000000
5227,903.731,00000000
5228,865.835,00000000
5229,848.635,00000000
5230,844.481,00000000
5231,843.713,00000000
5232,842.185,00000000
5233,845.612,00000000
5234,843.885,00000000
5235,838.763,00000000
5236,843.183,00000000
5237,840.323,00000000
5238,862.521,00000000
5239,851.829,00000000
5240,843.738,00000000
5241,841.529,00000000
5242,842.987,00000000
5243,1333.420,00000000
5244,1281.403,00000000
5245,1005.678,00000000
5246,903.456,00000000
5247,864.544,00000000
5248,851.496,00000000
5249,845.649,00000000
5250,868.580,00000000
5251,853.337,00000000
5252,846.301,00000000
5253,843.543,00000000
5254,842.911,00000000
5255,838.935,00000000
5256,839.820,00000000
5257,838.992,00000000
5258,843.341,00000000
5259,1223.214,00000000
5260,1190.882,00000000
5261,2865.095,00000000
5262,3388.478,00000000
5263,2876.857,00000000
5264,1879.710,00000000
5265,1225.589,00000000
5266,984.791,00000000
5267,891.112,00000000
5268,860.906,00000000
5269,850.836,00000000
5270,845.845,00000000
5271,841.134,00000000
5272,843.537,00000000
5273,841.770,00000000
5274,840.094,00000000
5275,859.475,00000000
5276,845.369,00000000
5277,843.579,00000000
5278,841.971,00000000
5279,842.884,00000000
5280,842.194,00000000
5281,839.399,00000000
5282,838.256,00000000
5283,1315.561,00000000
5284,1284.590,00000000
5285,1004.236,00000000
5286,899.406,00000000
5287,879.811,00000000
5288,855.528,00000000
5289,846.374,00000000
5290,841.978,00000000
5291,841.713,00000000
5292,838.993,00000000
5293,841.435,00000000
5294,842.472,00000000
5295,840.791,00000000
5296,1185.362,00000000
5297,1123.870,00000000
5298,2544.378,00000000
5299,3388.294,00000000
5300,1986.854,00000000
5301,1262.668,00000000
5302,999.495,00000000
5303,1395.468,00000000
5304,1302.351,00000000
5305,1013.941,00000000
5306,904.097,00000000
5307,865.261,00000000
5308,849.994,00000000
5309,845.441,00000000
5310,843.795,00000000
5311,867.324,00000000
5312,850.222,00000000
5313,842.802,00000000
5314,844.001,00000000
5315,842.790,00000000
5316,840.272,00000000
5317,843.689,00000000
5318,842.491,00000000
5319,843.243,00000000
5320,842.798,00000000
5321,841.167,00000000
5322,840.874,00000000
5323,1328.342,00000000
5324,1303.168,00000000
5325,1009.896,00000000
5326,904.062,00000000
5327,861.207,00000000
5328,852.436,00000000
5329,845.497,00000000
5330,842.293,00000000
5331,842.719,00000000
5332,842.156,00000000
5333,971.009,00000000
5334,1146.557,00000000
5335,2262.864,00000000
5336,3356.965,00000000
5337,3264.354,00000000
5338,1743.697,00000000
5339,1174.973,00000000
5340,966.666,00000000
5341,890.737,00000000
5342,857.455,00000000
5343,1330.591,00000000
5344,1276.337,00000000
5345,1001.869,00000000
5346,902.816,00000000
5347,864.833,00000000
5348,868.315,00000000
5349,851.368,00000000
5350,845.495,00000000
5351,840.733,00000000
5352,843.769,00000000
5353,840.280,00000000
5354,839.379,00000000
5355,842.717,00000000
5356,839.028,00000000
5357,837.393,00000000
5358,845.415,00000000
5359,842.604,00000000
5360,860.672,00000000
5361,848.812,00000000
5362,841.620,00000000
5363,1343.218,00000000
5364,1729.257,00000000
5365,1310.756,00000000
5366,2738.390,00000000
5367,3328.521,00000000
5368,1791.717,00000000
5369,1193.633,00000000
5370,970.642,00000000
5371,891.381,00000000
5372,885.446,00000000
5373,859.241,00000000
5374,847.639,00000000
5375,843.029,00000000
5376,843.405,00000000
5377,842.129,00000000
5378,841.334,00000000
