t_start_ms,t_end_ms,duration_ms,peak_ua,mean_ua,energy_total_uj,energy_marginal_uj,type
5003.0,5009.0,7,2993.066,1684.2958571428571,35.37021300000001,17.699637,inference
5023.0,5025.0,3,1329.096,1199.9673333333333,10.799706,3.226602,inference
5043.0,5048.0,6,2685.411,1842.0104999999996,33.156189,18.009981,inference
5063.0,5065.0,3,1313.039,1197.1486666666667,10.774338000000002,3.201234,inference
5080.0,5086.0,7,3601.896,1892.7687142857142,39.748143,22.077567000000002,inference
5103.0,5105.0,3,1316.055,1211.8590000000002,10.906731,3.3336270000000003,inference
5115.0,5125.0,11,3542.863,1691.6433636363638,55.824231,28.056182999999997,inference
5143.0,5145.0,3,1345.913,1211.132,10.900188,3.3270839999999993,inference
5153.0,5159.0,7,3380.585,1810.464,38.019744,20.349168,inference
5163.0,5165.0,3,1308.692,1209.5016666666668,10.885515,3.312410999999999,inference
5183.0,5189.0,7,2860.424,1664.498714285714,34.954473,17.283896999999996,inference
5203.0,5205.0,3,1352.651,1214.7386666666669,10.932648000000002,3.359544,inference
5220.0,5226.0,7,3039.955,1894.9601428571427,39.794163000000005,22.123587,inference
5243.0,5245.0,3,1333.42,1206.8336666666667,10.861503,3.2883990000000005,inference
5259.0,5265.0,7,3388.478,2092.832142857143,43.94947500000001,26.278899,inference
5283.0,5285.0,3,1315.561,1201.4623333333332,10.813161000000001,3.2400569999999993,inference
5296.0,5305.0,10,3388.294,1620.2681000000002,48.60804300000001,23.364363,inference
5323.0,5325.0,3,1328.342,1213.802,10.924218000000002,3.351114,inference
5334.0,5339.0,6,3356.965,2158.235,38.848229999999994,23.702021999999996,inference
5343.0,5345.0,3,1330.591,1202.9323333333334,10.826391,3.2532869999999994,inference
5363.0,5369.0,7,3328.521,1919.3560000000002,40.30647600000001,22.635900000000003,inference
5383.0,5385.0,3,1323.198,1197.5643333333333,10.778079,3.2049750000000006,inference
5395.0,5399.0,5,2869.032,1778.2124,26.673186,14.051345999999999,inference
5403.0,5405.0,3,1338.559,1209.9769999999999,10.889792999999997,3.3166889999999993,inference
5423.0,5431.0,9,3403.359,1843.2325555555556,49.767279,27.047966999999996,inference
5443.0,5445.0,3,1315.221,1211.308,10.901772000000001,3.3286680000000004,inference
5461.0,5466.0,6,3720.976,2040.8094999999996,36.734570999999995,21.588363,inference
5483.0,5485.0,3,1360.74,1215.2816666666668,10.937535,3.3644309999999997,inference
5500.0,5506.0,7,3969.067,1930.5112857142853,40.54073699999999,22.870160999999996,inference
5523.0,5525.0,3,1343.921,1210.4563333333333,10.894107,3.3210030000000006,inference
5540.0,5546.0,7,4077.693,2119.5628571428574,44.51082,26.840244,inference
5563.0,5565.0,3,1324.554,1206.2566666666667,10.85631,3.2832060000000003,inference
5580.0,5585.0,6,3075.521,2044.6336666666666,36.803406,21.657198,inference
5603.0,5605.0,3,1317.116,1213.355,10.920195,3.3470909999999994,inference
5617.0,5625.0,9,3379.379,1855.553222222222,50.099937,27.380625000000002,inference
5643.0,5645.0,3,1348.446,1215.312,10.937807999999999,3.3647039999999993,inference
5655.0,5665.0,11,3331.904,1560.1878181818183,51.486198,23.71815,inference
5683.0,5690.0,8,2967.033,1589.0451249999999,38.137083,17.942138999999997,inference
5703.0,5705.0,3,1361.428,1219.096,10.971864,3.3987600000000002,inference
5718.0,5725.0,8,2947.295,1599.833875,38.396012999999996,18.201069,inference
5743.0,5745.0,3,1337.338,1208.407,10.875663,3.3025590000000005,inference
