Timestamp(ms),Current(uA),D0-D7
0,1015.867,10000000
1,1018.066,10000000
2,1020.286,10000000
3,1014.604,10000000
4,1023.461,10000000
5,1017.994,10000000
6,1019.933,10000000
7,1021.260,10000000
8,1018.216,10000000
9,1022.362,10000000
10,1026.347,10000000
11,1022.068,10000000
12,1026.723,10000000
13,1018.909,10000000
14,1023.602,10000000
15,1021.267,10000000
16,1015.811,10000000
17,1024.958,10000000
18,1019.458,10000000
19,1015.006,10000000
20,1025.766,10000000
21,1017.083,10000000
22,1011.512,10000000
23,1036.941,10000000
24,1023.056,10000000
25,1015.366,10000000
26,1024.247,10000000
27,1015.987,10000000
28,1024.131,10000000
29,1017.812,10000000
30,1012.492,10000000
31,1025.705,10000000
32,1016.362,10000000
33,1019.195,10000000
34,1022.605,10000000
35,1039.550,10000000
36,1032.475,10000000
37,1025.861,10000000
38,1017.259,10000000
39,1026.092,10000000
40,1018.245,10000000
41,1013.518,10000000
42,1022.779,10000000
43,1017.191,10000000
44,1018.611,10000000
45,1019.797,10000000
46,1016.459,10000000
47,1045.910,10000000
48,1027.486,10000000
49,1022.787,10000000
50,1022.994,10000000
51,1016.300,10000000
52,1020.159,10000000
53,1023.034,10000000
54,1014.604,10000000
55,1022.843,10000000
56,1021.338,10000000
57,1016.760,10000000
58,1024.559,10000000
59,1031.090,10000000
60,1023.320,10000000
61,1025.883,10000000
62,1016.819,10000000
63,1011.309,10000000
64,1021.171,10000000
65,1017.826,10000000
66,1018.749,10000000
67,1019.170,10000000
68,1016.494,10000000
69,1022.869,10000000
70,1025.826,10000000
71,1015.068,10000000
72,1038.958,10000000
73,1024.822,10000000
74,1019.031,10000000
75,1021.386,10000000
76,1015.708,10000000
77,1023.045,10000000
78,1022.337,10000000
79,1017.207,10000000
80,1020.783,10000000
81,1019.311,10000000
82,1015.921,10000000
83,1018.372,10000000
84,1038.968,10000000
85,1022.685,10000000
86,1024.803,10000000
87,1019.948,10000000
88,1019.849,10000000
89,1022.234,10000000
90,1016.708,10000000
91,1023.809,10000000
92,1021.304,10000000
93,1016.293,10000000
94,1021.307,10000000
95,1020.453,10000000
96,1040.795,10000000
97,1031.727,10000000
98,1020.099,10000000
99,1016.495,10000000
100,1024.476,10000000
101,1017.414,10000000
102,1014.952,10000000
103,1022.296,10000000
104,1016.361,10000000
105,1011.890,10000000
106,1018.137,10000000
107,1018.759,10000000
108,1040.264,10000000
109,1030.308,10000000
110,1018.099,10000000
111,1023.878,10000000
112,1019.779,10000000
113,1014.190,10000000
114,1021.411,10000000
115,1016.576,10000000
116,1023.880,10000000
117,1018.816,10000000
118,1017.375,10000000
119,1021.391,10000000
120,1016.597,10000000
121,1042.771,10000000
122,1028.345,10000000
123,1016.529,10000000
124,1022.032,10000000
125,1019.900,10000000
126,1012.467,10000000
127,1023.171,10000000
128,1015.951,10000000
129,1022.700,10000000
130,1021.688,10000000
131,1016.736,10000000
132,1022.313,10000000
133,1035.706,10000000
134,1030.977,10000000
135,1024.560,10000000
136,1016.018,10000000
137,1021.687,10000000
138,1019.169,10000000
139,1023.770,10000000
140,1020.000,10000000
141,1015.850,10000000
142,1023.492,10000000
143,1018.515,10000000
144,1010.604,10000000
145,1043.670,10000000
146,1024.116,10000000
147,1024.025,10000000
148,1018.262,10000000
149,1020.964,10000000
150,1020.126,10000000
151,1016.205,10000000
152,1025.472,10000000
153,1017.986,10000000
154,1024.981,10000000
155,1022.476,10000000
156,1017.448,10000000
157,1046.322,10000000
158,1030.359,10000000
159,1018.669,10000000
160,1022.073,10000000
161,1017.123,10000000
162,1020.758,10000000
163,1024.507,10000000
164,1319.202,10000000
165,2507.333,10000000
166,2935.699,10000000
167,3046.829,10000000
168,3109.966,10000000
169,3151.153,10000000
170,2481.829,10000000
171,1563.971,10000000
172,1221.407,10000000
173,1087.206,10000000
174,1049.391,10000000
175,1027.962,10000000
176,1021.405,10000000
177,1020.953,10000000
178,1013.784,10000000
179,1024.327,10000000
180,1020.915,10000000
181,1019.136,10000000
182,1041.224,10000000
183,1023.996,10000000
184,1027.775,10000000
185,1021.553,10000000
186,1012.454,10000000
187,1023.929,10000000
188,1018.896,10000000
189,1021.155,10000000
190,1023.546,10000000
191,1016.641,10000000
192,1024.624,10000000
193,1016.962,10000000
194,1035.686,10000000
195,1031.568,10000000
196,1020.711,10000000
197,1019.262,10000000
198,1021.311,10000000
199,1017.206,10000000
200,1023.406,10000000
201,1021.127,10000000
202,1015.191,10000000
203,1025.900,10000000
204,1018.852,10000000
205,1013.769,10000000
206,1049.377,10000000
207,1028.763,10000000
208,1022.914,10000000
209,1018.878,10000000
210,1012.788,10000000
211,1021.964,10000000
212,1017.765,10000000
213,1015.516,10000000
214,1022.838,10000000
215,1018.775,10000000
216,1023.050,10000000
217,1023.465,10000000
218,1015.890,10000000
219,1037.115,10000000
220,1025.437,10000000
221,1019.924,10000000
222,1022.641,10000000
223,1013.163,10000000
224,1019.354,10000000
225,1021.782,10000000
226,1015.495,10000000
227,1015.025,10000000
228,1018.675,10000000
229,1010.619,10000000
230,1021.834,10000000
231,1034.016,10000000
232,1028.094,10000000
233,1022.635,10000000
234,1013.416,10000000
235,1026.445,10000000
236,1018.278,10000000
237,1021.712,10000000
238,1021.000,10000000
239,1016.689,10000000
240,1023.254,10000000
241,1015.818,10000000
242,1020.779,10000000
243,1043.241,10000000
244,1020.374,10000000
245,1026.833,10000000
246,1019.048,10000000
247,1012.316,10000000
248,1019.381,10000000
249,1011.921,10000000
250,1020.498,10000000
251,1018.996,10000000
252,1020.743,10000000
253,1019.499,10000000
254,1014.587,10000000
255,1050.333,10000000
256,1029.799,10000000
257,1016.698,10000000
258,1020.619,10000000
259,1018.912,10000000
260,1019.990,10000000
261,1018.745,10000000
262,1014.937,10000000
263,1021.021,10000000
264,1020.809,10000000
265,1012.831,10000000
266,1023.847,10000000
267,1021.256,10000000
268,1025.913,10000000
269,1025.888,10000000
270,1017.128,10000000
271,1021.374,10000000
272,1020.462,10000000
273,1015.805,10000000
274,1025.210,10000000
275,1019.314,10000000
276,1013.522,10000000
277,1020.611,10000000
278,1016.870,10000000
279,1012.995,10000000
280,1039.230,10000000
281,1022.418,10000000
282,1025.042,10000000
283,1019.470,10000000
284,1015.102,10000000
285,1024.745,10000000
286,1018.016,10000000
287,1011.411,10000000
288,1023.474,10000000
289,1017.987,10000000
290,1009.855,10000000
291,1020.323,10000000
292,1038.300,10000000
293,1028.005,10000000
294,1020.218,10000000
295,1020.877,10000000
296,1021.383,10000000
297,1015.885,10000000
298,1025.018,10000000
299,1018.649,10000000
300,1018.223,10000000
301,1021.644,10000000
302,1018.132,10000000
303,1024.158,10000000
304,1045.072,10000000
305,1021.836,10000000
306,1025.227,10000000
307,1017.184,10000000
308,1010.174,10000000
309,1021.083,10000000
310,1014.927,10000000
311,1013.546,10000000
312,1017.691,10000000
313,1010.806,10000000
314,1019.294,10000000
315,1017.272,10000000
316,1028.497,10000000
317,1032.450,10000000
318,1019.351,10000000
319,1025.288,10000000
320,1016.494,10000000
321,1017.804,10000000
322,1020.549,10000000
323,1012.213,10000000
324,1018.679,10000000
325,1014.690,10000000
326,1017.185,10000000
327,1017.379,10000000
328,1010.659,10000000
329,1033.898,10000000
330,1024.996,10000000
331,1012.019,10000000
332,1022.869,10000000
333,1013.185,10000000
334,1020.307,10000000
335,1018.463,10000000
336,1017.469,10000000
337,1019.265,10000000
338,1011.005,10000000
339,1020.666,10000000
340,1015.936,10000000
341,1040.126,10000000
342,1024.754,10000000
343,1019.128,10000000
344,1020.428,10000000
345,1016.797,10000000
346,1021.287,10000000
347,1018.552,10000000
348,1013.817,10000000
349,1020.820,10000000
350,1015.655,10000000
351,1015.549,10000000
352,1020.075,10000000
353,1037.730,10000000
354,1026.997,10000000
355,1022.208,10000000
356,1015.251,10000000
357,1021.334,10000000
358,1019.133,10000000
359,1016.555,10000000
360,1019.954,10000000
361,1014.417,10000000
362,1022.297,10000000
363,1019.583,10000000
364,1012.857,10000000
365,1038.039,10000000
366,1031.047,10000000
367,1021.348,10000000
368,1023.948,10000000
369,1016.435,10000000
370,1018.633,10000000
371,1019.011,10000000
372,1013.291,10000000
373,1020.580,10000000
374,1016.340,10000000
375,1012.041,10000000
376,1020.619,10000000
377,1016.169,10000000
378,1037.908,10000000
379,1025.215,10000000
380,1016.611,10000000
381,1023.528,10000000
382,1018.952,10000000
383,1013.754,10000000
384,1023.848,10000000
385,1017.195,10000000
386,1021.516,10000000
387,1018.493,10000000
388,1014.599,10000000
389,1022.467,10000000
390,1038.672,10000000
391,1021.488,10000000
392,1013.303,10000000
393,1015.784,10000000
394,1011.965,10000000
395,1018.846,10000000
396,1012.863,10000000
397,1017.354,10000000
398,1017.334,10000000
399,1013.620,10000000
400,1020.995,10000000
401,1018.314,10000000
402,1038.203,10000000
403,1030.580,10000000
404,1021.386,10000000
405,1020.293,10000000
406,1020.345,10000000
407,1013.524,10000000
408,1018.789,10000000
409,1018.870,10000000
410,1014.467,10000000
411,1023.117,10000000
412,1016.733,10000000
413,1011.648,10000000
414,1047.711,10000000
415,1026.719,10000000
416,1017.550,10000000
417,1018.834,10000000
418,1016.801,10000000
419,1021.060,10000000
420,1020.536,10000000
421,1016.083,10000000
422,1018.551,10000000
423,1021.227,10000000
424,1014.338,10000000
425,1018.171,10000000
426,1017.835,10000000
427,1027.102,10000000
428,1024.453,10000000
429,1016.161,10000000
430,1016.092,10000000
431,1019.539,10000000
432,1017.448,10000000
433,1023.053,10000000
434,1019.017,10000000
435,1014.502,10000000
436,1016.031,10000000
437,1018.580,10000000
438,1011.829,10000000
