Timestamp(ms),Current(uA),D0-D7
4,3054.301,00000000
5,3065.144,00000000
6,3159.645,00000000
7,3101.877,00000000
8,3086.520,00000000
9,3050.055,00000000
10,3048.723,00000000
11,3064.412,00000000
12,3190.274,00000000
13,3097.091,00000000
14,3075.231,00000000
15,3087.524,00000000
16,3046.918,00000000
17,3056.622,00000000
18,3166.477,00000000
19,3077.003,00000000
20,3075.357,00000000
21,3078.565,00000000
22,3043.948,00000000
23,3053.661,00000000
24,3125.934,00000000
25,3072.806,00000000
26,3044.397,00000000
27,3032.124,00000000
28,3027.985,00000000
29,3087.696,00000000
30,3106.165,00000000
31,3094.082,00000000
32,3052.161,00000000
33,3061.775,00000000
34,3070.979,00000000
35,3186.444,00000000
36,3086.891,00000000
37,3084.757,00000000
38,3076.956,00000000
39,3045.822,00000000
40,3055.555,00000000
41,3167.194,00000000
42,3081.439,00000000
43,3070.624,00000000
44,3077.774,00000000
45,3087.465,00000000
46,3095.640,00000000
47,3117.508,00000000
48,3098.730,00000000
49,3068.447,00000000
50,3057.975,00000000
51,3068.609,00000000
52,3170.185,00000000
53,3094.607,00000000
54,3082.657,00000000
55,3090.842,00000000
56,3050.948,00000000
57,3057.559,00000000
58,3157.584,00000000
59,3066.707,00000000
60,3061.324,00000000
61,3082.941,00000000
62,3084.037,00000000
63,3094.993,00000000
64,3114.036,00000000
65,3094.747,00000000
66,3053.712,00000000
67,3057.295,00000000
68,3069.343,00000000
69,3171.292,00000000
70,3084.015,00000000
71,3070.039,00000000
72,3075.653,00000000
73,3053.940,00000000
74,3053.960,00000000
75,3150.043,00000000
76,3078.118,00000000
77,3062.507,00000000
78,3069.132,00000000
79,3082.927,00000000
80,3130.903,00000000
81,3118.014,00000000
82,3097.013,00000000
83,3044.747,00000000
84,3060.432,00000000
85,3085.291,00000000
86,3159.456,00000000
87,3099.236,00000000
88,3086.894,00000000
89,3082.147,00000000
90,3053.108,00000000
91,3068.542,00000000
92,3169.566,00000000
93,3085.583,00000000
94,3067.851,00000000
95,3077.500,00000000
96,3038.844,00000000
97,3073.444,00000000
98,3172.736,00000000
99,3081.369,00000000
100,3078.389,00000000
101,3081.353,00000000
102,3049.006,00000000
103,3052.594,00000000
104,3147.907,00000000
105,3086.062,00000000
106,3059.660,00000000
107,3064.067,00000000
108,3081.131,00000000
109,3080.646,00000000
110,3132.859,00000000
111,3110.017,00000000
112,3058.794,00000000
113,3068.028,00000000
114,3079.701,00000000
115,3113.442,00000000
116,3113.037,00000000
117,3095.221,00000000
118,3047.177,00000000
119,3049.898,00000000
120,3084.350,00000000
121,3176.923,00000000
122,3117.762,00000000
123,3100.607,00000000
124,3054.227,00000000
125,3060.723,00000000
126,3068.477,00000000
127,3156.768,00000000
128,3086.293,00000000
129,3073.463,00000000
130,3077.146,00000000
131,3046.713,00000000
132,3060.468,00000000
133,3198.269,00000000
134,3095.953,00000000
135,3078.126,00000000
136,3084.382,00000000
137,3052.314,00000000
138,3058.399,00000000
139,3120.869,00000000
140,3065.662,00000000
141,3042.888,00000000
142,3033.317,00000000
143,3028.391,00000000
144,3073.026,00000000
